exponent,n,h,alpha,error,connected
2,10000,0.092103,0.254491,0.451997,1
2,10000,0.092103,0.254491,0.281877,1
2,10000,0.092103,0.254491,0.282614,1
2,10000,0.092103,0.254491,0.333051,1
2,10000,0.092103,0.254491,0.257207,1
2,10000,0.092103,0.254491,0.274346,1
2,10000,0.092103,0.254491,0.261572,1
2,10000,0.092103,0.254491,0.326388,1
2,10000,0.092103,0.254491,0.398565,1
2,10000,0.092103,0.254491,0.285960,1
2,10000,0.092103,0.254491,0.376639,1
2,10000,0.092103,0.254491,0.249667,1
2,10000,0.092103,0.254491,0.344118,1
2,10000,0.092103,0.254491,0.261110,1
2,10000,0.092103,0.254491,0.295239,1
2,10000,0.092103,0.254491,0.377223,1
2,10000,0.092103,0.254491,0.352651,1
2,10000,0.092103,0.254491,0.287944,1
2,10000,0.092103,0.254491,0.365427,1
2,10000,0.092103,0.254491,0.470224,1
3,10000,0.092832,0.172355,0.258974,1
3,10000,0.092832,0.172355,0.215516,1
3,10000,0.092832,0.172355,0.227727,1
3,10000,0.092832,0.172355,0.193071,1
3,10000,0.092832,0.172355,0.221619,1
3,10000,0.092832,0.172355,0.254751,1
3,10000,0.092832,0.172355,0.258776,1
3,10000,0.092832,0.172355,0.280404,1
3,10000,0.092832,0.172355,0.261081,1
3,10000,0.092832,0.172355,0.192442,1
3,10000,0.092832,0.172355,0.180513,1
3,10000,0.092832,0.172355,0.325462,1
3,10000,0.092832,0.172355,0.224025,1
3,10000,0.092832,0.172355,0.305030,1
3,10000,0.092832,0.172355,0.225831,1
3,10000,0.092832,0.172355,0.174725,1
3,10000,0.092832,0.172355,0.221462,1
3,10000,0.092832,0.172355,0.171834,1
3,10000,0.092832,0.172355,0.275689,1
3,10000,0.092832,0.172355,0.267091,1
4,10000,0.100000,0.100000,0.189855,1
4,10000,0.100000,0.100000,0.181080,1
4,10000,0.100000,0.100000,0.202045,1
4,10000,0.100000,0.100000,0.159730,1
4,10000,0.100000,0.100000,0.140294,1
4,10000,0.100000,0.100000,0.135162,1
4,10000,0.100000,0.100000,0.207160,1
4,10000,0.100000,0.100000,0.191724,1
4,10000,0.100000,0.100000,0.200797,1
4,10000,0.100000,0.100000,0.200320,1
4,10000,0.100000,0.100000,0.153141,1
4,10000,0.100000,0.100000,0.165130,1
4,10000,0.100000,0.100000,0.186219,1
4,10000,0.100000,0.100000,0.135316,1
4,10000,0.100000,0.100000,0.169563,1
4,10000,0.100000,0.100000,0.165548,1
4,10000,0.100000,0.100000,0.186328,1
4,10000,0.100000,0.100000,0.134347,1
4,10000,0.100000,0.100000,0.144238,1
4,10000,0.100000,0.100000,0.273272,1
2,10000,0.092103,0.254491,0.295097,1
2,10000,0.092103,0.254491,0.272174,1
2,10000,0.092103,0.254491,0.257481,1
2,10000,0.092103,0.254491,0.285637,1
2,10000,0.092103,0.254491,0.262118,1
2,10000,0.092103,0.254491,0.437166,1
2,10000,0.092103,0.254491,0.346947,1
2,10000,0.092103,0.254491,0.313636,1
2,10000,0.092103,0.254491,0.270937,1
2,10000,0.092103,0.254491,0.281276,1
2,10000,0.092103,0.254491,0.251480,1
2,10000,0.092103,0.254491,0.273308,1
2,10000,0.092103,0.254491,0.447432,1
2,10000,0.092103,0.254491,0.304266,1
2,10000,0.092103,0.254491,0.396296,1
2,10000,0.092103,0.254491,0.280174,1
2,10000,0.092103,0.254491,0.269238,1
2,10000,0.092103,0.254491,0.204542,1
2,10000,0.092103,0.254491,0.284801,1
2,10000,0.092103,0.254491,0.353303,1
3,10000,0.092832,0.172355,0.302519,1
3,10000,0.092832,0.172355,0.395828,1
3,10000,0.092832,0.172355,0.214331,1
3,10000,0.092832,0.172355,0.184106,1
3,10000,0.092832,0.172355,0.230323,1
3,10000,0.092832,0.172355,0.197630,1
3,10000,0.092832,0.172355,0.319452,1
3,10000,0.092832,0.172355,0.253573,1
3,10000,0.092832,0.172355,0.387671,1
3,10000,0.092832,0.172355,0.189042,1
3,10000,0.092832,0.172355,0.278807,1
3,10000,0.092832,0.172355,0.215474,1
3,10000,0.092832,0.172355,0.278095,1
3,10000,0.092832,0.172355,0.311028,1
3,10000,0.092832,0.172355,0.186918,1
3,10000,0.092832,0.172355,0.288761,1
3,10000,0.092832,0.172355,0.276006,1
3,10000,0.092832,0.172355,0.225694,1
3,10000,0.092832,0.172355,0.249320,1
3,10000,0.092832,0.172355,0.295224,1
4,10000,0.100000,0.100000,0.198257,1
4,10000,0.100000,0.100000,0.209573,1
4,10000,0.100000,0.100000,0.171887,1
4,10000,0.100000,0.100000,0.206045,1
4,10000,0.100000,0.100000,0.239840,1
4,10000,0.100000,0.100000,0.140595,1
4,10000,0.100000,0.100000,0.206384,1
4,10000,0.100000,0.100000,0.257980,1
4,10000,0.100000,0.100000,0.215815,1
4,10000,0.100000,0.100000,0.155741,1
4,10000,0.100000,0.100000,0.192718,1
4,10000,0.100000,0.100000,0.191484,1
4,10000,0.100000,0.100000,0.138883,1
4,10000,0.100000,0.100000,0.180371,1
4,10000,0.100000,0.100000,0.132744,1
4,10000,0.100000,0.100000,0.166710,1
4,10000,0.100000,0.100000,0.187294,1
4,10000,0.100000,0.100000,0.194976,1
4,10000,0.100000,0.100000,0.191016,1
4,10000,0.100000,0.100000,0.204681,1
2,10000,0.092103,0.254491,0.424829,1
2,10000,0.092103,0.254491,0.392197,1
2,10000,0.092103,0.254491,0.500913,1
2,10000,0.092103,0.254491,0.225172,1
2,10000,0.092103,0.254491,0.325800,1
2,10000,0.092103,0.254491,0.254789,1
2,10000,0.092103,0.254491,0.288288,1
2,10000,0.092103,0.254491,0.328285,1
2,10000,0.092103,0.254491,0.286600,1
2,10000,0.092103,0.254491,0.362170,1
2,10000,0.092103,0.254491,0.591826,1
2,10000,0.092103,0.254491,0.258189,1
2,10000,0.092103,0.254491,0.364677,1
2,10000,0.092103,0.254491,0.600356,1
2,10000,0.092103,0.254491,0.259559,1
2,10000,0.092103,0.254491,0.383147,1
2,10000,0.092103,0.254491,0.261971,1
2,10000,0.092103,0.254491,0.276501,1
2,10000,0.092103,0.254491,0.339691,1
2,10000,0.092103,0.254491,0.290433,1
3,10000,0.092832,0.172355,0.216734,1
3,10000,0.092832,0.172355,0.250112,1
3,10000,0.092832,0.172355,0.278267,1
3,10000,0.092832,0.172355,0.268538,1
3,10000,0.092832,0.172355,0.309250,1
3,10000,0.092832,0.172355,0.259268,1
3,10000,0.092832,0.172355,0.242954,1
3,10000,0.092832,0.172355,0.261911,1
3,10000,0.092832,0.172355,0.504499,1
3,10000,0.092832,0.172355,0.275846,1
3,10000,0.092832,0.172355,0.255610,1
3,10000,0.092832,0.172355,0.313432,1
